"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"165";9;2018;24828,5566406;37,8794785;6,2131796;24,7045994;2,7277594;5,0833259;2018-09-01
"166";10;2018;24830,4609375;37,8825798;6,2136846;24,7066326;2,7279429;5,083745;2018-10-01
"167";11;2018;24832,3652344;37,8838959;6,213975;24,7071056;2,7279673;5,0838017;2018-11-01
"168";12;2018;24834,2695312;37,8838959;6,213975;24,7071648;2,7279925;5,083859;2018-12-01
"169";1;2019;24835,953125;37,8838959;6,213975;24,7071819;2,728003;5,0838814;2019-01-01
"170";2;2019;24837,6347656;37,8838997;6,213975;24,707201;2,7280173;5,0839095;2019-02-01
"171";3;2019;24840,9960938;37,8838997;6,213975;24,7072334;2,7280633;5,0839882;2019-03-01
"172";4;2019;24883,0234375;37,8904991;6,2148681;24,7104359;2,7296488;5,0863309;2019-04-01
"173";5;2019;24967,0722656;37,996788;6,2366171;24,7875576;2,7394919;5,1039095;2019-05-01
"174";6;2019;25020,8632812;38,0843811;6,2508755;24,844944;2,7455466;5,108829;2019-06-01
"175";7;2019;25074,65625;38,1719704;6,2651324;24,9023285;2,7516196;5,1125302;2019-07-01
"176";8;2019;25121,7226562;38,2486115;6,2776079;24,9525394;2,7569058;5,1170058;2019-08-01
"177";9;2019;25165,4296875;38,3197823;6,2891917;24,9991646;2,7619128;5,1212196;2019-09-01
"178";10;2019;25167,1113281;38,3225212;6,289638;25,0009594;2,7620718;5,1215777;2019-10-01
"179";11;2019;25168,7929688;38,3238335;6,2899108;25,0014458;2,7620931;5,1216269;2019-11-01
"180";12;2019;25170,4765625;38,3238335;6,2899108;25,001503;2,7621148;5,121676;2019-12-01
"181";1;2020;25172,046875;38,3238335;6,2899108;25,0015202;2,7621253;5,1216974;2020-01-01
"182";2;2020;25173,6152344;38,3238335;6,2899108;25,0015392;2,7621393;5,1217246;2020-02-01
"183";3;2020;25176,7539062;38,3238335;6,2899108;25,0015717;2,7621841;5,1217999;2020-03-01
"184";4;2020;25215,9765625;38,3301315;6,2907715;25,0046577;2,7637088;5,1240506;2020-04-01
"185";5;2020;25294,4238281;38,4306107;6,3114724;25,0780239;2,7728958;5,1406946;2020-05-01
"186";6;2020;25344,6308594;38,5123634;6,3247805;25,1315804;2,7787225;5,1477795;2020-06-01
"187";7;2020;25394,8398438;38,5941162;6,3380871;25,1851406;2,7844496;5,1513152;2020-07-01
"188";8;2020;25438,7695312;38,6656494;6,349731;25,2320042;2,7894392;5,1557522;2020-08-01
"189";9;2020;25479,5625;38,7320709;6,3605428;25,2755203;2,7941499;5,1600838;2020-09-01
"190";10;2020;25481,1328125;38,7346268;6,3609591;25,2771931;2,7942958;5,1604095;2020-10-01
"191";11;2020;25482,703125;38,7359314;6,3612251;25,2776966;2,7943153;5,1604543;2020-11-01
"192";12;2020;25484,2734375;38,7359314;6,3612256;25,27775;2,7943351;5,1604986;2020-12-01
"193";1;2021;25485,9550781;38,7359314;6,3612256;25,2777672;2,7943454;5,1605196;2021-01-01
"194";2;2021;25487,6367188;38,7359314;6,3612256;25,2777863;2,7943592;5,1605458;2021-02-01
"195";3;2021;25490,9980469;38,7359314;6,3612256;25,2778149;2,7944045;5,1606221;2021-03-01
"196";4;2021;25533,0253906;38,7425156;6,3621182;25,2810154;2,79598;5,1629438;2021-04-01
"197";5;2021;25617,0742188;38,8504601;6,3843794;25,3600597;2,8058233;5,1808448;2021-05-01
"198";6;2021;25670,8671875;38,9380531;6,3986373;25,4174442;2,812109;5,1884432;2021-06-01
"199";7;2021;25724,6582031;39,0256424;6,4128952;25,4748287;2,8182623;5,1922565;2021-07-01
"200";8;2021;25771,7265625;39,1022835;6,4253707;25,5250378;2,8236208;5,1969352;2021-08-01
"201";9;2021;25815,4316406;39,1734543;6,4369555;25,5716648;2,8286717;5,2016425;2021-09-01
"202";10;2021;25817,1132812;39,1761894;6,4374008;25,5734558;2,8288255;5,2019815;2021-10-01
"203";11;2021;25818,796875;39,1776161;6,4376884;25,5740128;2,8288465;5,2020283;2021-11-01
"204";12;2021;25820,4785156;39,1776161;6,4376884;25,57407;2,8288679;5,202075;2021-12-01
"205";1;2022;25821,9355469;39,1776161;6,4376884;25,5740891;2,8288772;5,2020941;2022-01-01
"206";2;2022;25823,3945312;39,1776161;6,4376884;25,5741062;2,8288901;5,2021189;2022-02-01
"207";3;2022;25826,3066406;39,1776161;6,4376884;25,5741329;2,8289313;5,2021875;2022-03-01
