"";"Month";"Year";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"200";8;2021;278117,625;182,1992493;204,542923;29,2592793;134,0931396;17,5799122;24,0593777;2021-08-01
"201";9;2021;278869,28125;182,5527039;205,0833282;29,3330593;134,4312134;17,6249714;24,0881538;2021-09-01
"202";10;2021;278917,625;182,5759735;205,1170349;29,337616;134,4522552;17,6278057;24,0917339;2021-10-01
"203";11;2021;278926;182,579361;205,1206207;29,3382587;134,4543457;17,6280212;24,0918407;2021-11-01
"204";12;2021;278927,5625;182,5796356;205,1206207;29,3382587;134,454361;17,6280308;24,0918808;2021-12-01
"205";1;2022;278929,09375;182,5797272;205,1206207;29,3382587;134,4542999;17,6280365;24,0919018;2022-01-01
"206";2;2022;278930,6875;182,5798645;205,1206207;29,3382587;134,4542542;17,6280499;24,0919266;2022-02-01
"207";3;2022;278933,8125;182,5801239;205,1206207;29,3382587;134,4541779;17,6280899;24,0919991;2022-03-01
"208";4;2022;279127,03125;182,6164398;205,1362457;29,3401222;134,5070648;17,6332054;24,0970001;2022-04-01
"209";5;2022;282564,40625;184,2787933;206,992691;29,6553459;135,9143219;17,831995;24,367672;2022-05-01
"210";6;2022;284449,75;185,1867676;208,2962952;29,8308086;136,7245178;17,9414978;24,4666367;2022-06-01
"211";7;2022;285676,375;185,7681885;209,1625977;29,9482918;137,2639618;18,0138836;24,5488052;2022-07-01
"212";8;2022;286386,1875;186,0967255;209,6792145;30,0190945;137,5865479;18,056736;24,5714512;2022-08-01
"213";9;2022;287134,15625;186,4458313;210,2179871;30,0926647;137,9226532;18,1015396;24,6013126;2022-09-01
"214";10;2022;287181,59375;186,4685211;210,2510986;30,0971394;137,9432373;18,1043148;24,604784;2022-10-01
"215";11;2022;287189,9375;186,4718323;210,2547607;30,0978031;137,9453888;18,1045322;24,6048927;2022-11-01
"216";12;2022;287191,625;186,4720764;210,2547607;30,0978031;137,9454041;18,1045437;24,6049366;2022-12-01
"217";1;2023;287192,875;186,4722137;210,2547607;30,0978031;137,945343;18,1045475;24,6049519;2023-01-01
"218";2;2023;287194,21875;186,4723053;210,2547607;30,0978031;137,945282;18,1045589;24,6049747;2023-02-01
"219";3;2023;287196,90625;186,4725494;210,2547607;30,0978031;137,9452057;18,104599;24,6050396;2023-03-01
"220";4;2023;287390,59375;186,5071259;210,270401;30,0996532;137,9997101;18,1097851;24,6100407;2023-04-01
"221";5;2023;290594,25;188,0426788;212,0100708;30,3941784;139,3180695;18,2945328;24,8568611;2023-05-01
"222";6;2023;292071,6875;188,7444763;213,0351868;30,5323143;139,9550018;18,3805275;24,935133;2023-06-01
"223";7;2023;292752,46875;189,0555267;213,5318146;30,60042;140,2649841;18,4216805;24,9554405;2023-07-01
"224";8;2023;293456,0625;189,3805847;214,0379486;30,6694965;140,5805054;18,4637623;24,9783936;2023-08-01
"225";9;2023;294192,90625;189,7233887;214,5633087;30,7409782;140,9077606;18,5075378;25,0029373;2023-09-01
"226";10;2023;294238,46875;189,7450104;214,5949707;30,745245;140,9274292;18,5101929;25,0061417;2023-10-01
"227";11;2023;294246,40625;189,7482147;214,5986481;30,7458801;140,9294891;18,5104065;25,006237;2023-11-01
"228";12;2023;294247,875;189,7484283;214,5986481;30,7458801;140,9295197;18,510416;25,0062771;2023-12-01
"229";1;2024;294249,125;189,7485657;214,5986481;30,7458801;140,9294434;18,5104218;25,0062923;2024-01-01
"230";2;2024;294250,46875;189,748642;214,5986481;30,7458801;140,9294128;18,5104313;25,0063152;2024-02-01
"231";3;2024;294253,15625;189,7488708;214,5986481;30,7458801;140,9293213;18,5104733;25,0063744;2024-03-01
"232";4;2024;294445,03125;189,7835999;214,61409;30,7477112;140,9828644;18,5156002;25,0113087;2024-04-01
