"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"Date";"group_id"
"77";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;5;0,2232506;0,1729103;0,2243858;0,4588265;0;0;0,2216126;0,6218878;0,0206995;3,7131257;0,0001231;0,2530823;NA;NA;NA;NA;2011-05-01;1
"78";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;6;0,0912671;0,070652;0,0643598;0,1294378;0;0;0,0460029;0,1383343;0,0149795;1,9627384;0,0004869;0,1222409;NA;NA;NA;NA;2011-06-01;1
"79";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;7;0;0;0;0;0;0;0;0;0;0;0,0019311;0;NA;NA;NA;NA;2011-07-01;1
"80";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;8;0;0;0;0;0;0;0;0;0;0;0,0006464;0;NA;NA;NA;NA;2011-08-01;1
"81";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;9;0;0;0;0;0;0;0;0;0;0;0,0001252;0;NA;NA;NA;NA;2011-09-01;1
"82";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;10;1,501857;1,1633452;0,9143823;1,8713726;0,0235126;0,029029;0,5973644;2,7838261;0,0689171;26,1981754;0,0003057;3,4346197;NA;NA;NA;NA;2011-10-01;1
"83";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;11;1,4780844;1,1448003;1,4205595;2,9901664;0,0528824;0,074316;1,4767387;4,5760131;0,0507381;21,7213345;8,41e-05;2,665658;NA;NA;NA;NA;2011-11-01;1
"84";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;12;0,8599281;0,6656765;1,0294194;2,2152586;0,0481045;0,065263;1,3340012;4,4736934;0,0319011;7,4063101;6,48e-05;0,7371597;NA;NA;NA;NA;2011-12-01;1
"85";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2012;1;1,0300066;0,7965914;1,4287863;3,1204648;0,0545475;0,0962597;2,1508627;6,1260276;0,0466026;6,254458;4,73e-05;0,4239704;NA;NA;NA;NA;2012-01-01;1
"86";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2012;2;0,3676082;0,284146;0,5359304;1,1232928;0,0531153;0,0528567;0,8455865;1,3692529;0,0367982;4,7691193;5,7e-05;0,2279653;NA;NA;NA;NA;2012-02-01;1
"87";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2012;3;1,0083811;0,7787827;1,4840132;3,1505506;0,1053917;0,1361643;2,3696554;5,4711299;0,0529935;7,1457105;5,06e-05;0,3941808;NA;NA;NA;NA;2012-03-01;1
"88";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2012;4;0,6629788;0,5116456;0,7893941;1,6740211;0,0486668;0,0525608;0,999521;2,8924217;0,0613688;7,7756009;9,11e-05;0,3964123;NA;NA;NA;NA;2012-04-01;1
"89";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2012;5;0,3816077;0,2943872;0,3912783;0,8000071;0;0;0,4076782;0,9297146;0,0469179;7,3339748;0,0001829;0,4237165;NA;NA;NA;NA;2012-05-01;1
"90";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2012;6;0,3296843;0,2541894;0,2678095;0,5271502;0;0;0,2273514;0,4055013;0,0550218;7,5977378;0,0003368;0,4414531;NA;NA;NA;NA;2012-06-01;1
"91";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2012;7;0,0216191;0,0166552;0,0109223;0,0212905;0;0;0,0054311;0,0128451;0,0042091;0,5652267;0,0026784;0,0322709;NA;NA;NA;NA;2012-07-01;1
